,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
66,50844,6/2/2007 01:36,the pas (canada),mb,ca,other,120,2 minutes,T shaped upside down craft Brighter than Venus with pulsating smaller red light near rear In Manitoba.  ((NUFORC Note:  ISS??  PD)),6/12/2007,53.816667,-101.233333
67,50926,6/2/2013 00:55,morden (canada),mb,ca,light,120,1-2 minutes,A long line of bright orange lights flying low and fast.In clusters of two or three. Silent. No noise. All following the first thre,7/3/2013,45.1,-64.93333299999999
68,51519,6/24/2008 14:20,winnipeg (canada),mb,ca,unknown,10,10 sek,object moving over Winnipeg Sky,7/5/2008,49.883333,-97.166667
69,51573,6/24/2012 01:00,thompson (canada),mb,ca,circle,300,5 minutes,Big red firey balls. seen multiple times on different occasion. 2 videos on my phone.,7/4/2012,55.75,-97.866667
70,51774,6/25/2009 23:00,winnipeg (canada),mb,ca,light,480,5-8 minutes,Seeing UFO&#39S in Manitoba.,8/5/2009,49.883333,-97.166667
71,52023,6/26/2012 23:10,winnipeg (canada),mb,ca,fireball,180,3 minutes,7 orange orbs traveling silently across the sky - first 2 which disappeared and then followed by 5 more flying in formation.,7/4/2012,49.883333,-97.166667
72,52583,6/29/2013 23:00,winnipeg (canada),mb,ca,sphere,300,5 minutes,Two red/orange lights&#44 one went out and went it passed over head I could see one red light and a much bigger grey cirular object.,7/3/2013,49.883333,-97.166667
73,52672,6/30/1966 15:00,portage la prairie (canada),mb,ca,disk,600,about 10 minutes,I was a non-believer in UFOs. However&#44 after being a witness to a sighting&#44 count me as a believer&#33,4/16/2005,49.966667,-98.3
74,54230,6/8/1998 04:00,winnipeg (canada),mb,ca,disk,600,10 minutes,at 4 am by a military airport a circular object with 5 flashing white lights was watched for 10 min fly across sky then disappear,9/1/2004,49.883333,-97.166667
75,55056,7/11/2010 23:38,winnipeg (canada),mb,ca,rectangle,3600,1 hour +,Two square shaped objects with flashing lights in each corner flying incredibly fast and changing direction at unbelievable angles.,7/19/2010,49.883333,-97.166667
76,55260,7/1/1984 03:00,thompson (canada),mb,ca,unknown,10,10 seconds,three objects travelling in a low flight pattern in a northerly direction,4/2/1999,55.75,-97.866667
77,55279,7/1/1988 12:00,winnipeg (canada),mb,ca,sphere,30,30sec,2 spere&#39s tumbeling across the sky on a partly cloudy day,12/16/2005,49.883333,-97.166667
78,55486,7/1/2005 02:00,portage la prairie (canada),mb,ca,light,1800,~20-30 minutes,Face to face with the unknown.,5/2/2014,49.966667,-98.3
79,55632,7/1/2013 16:00,winnipeg (canada),mb,ca,other,60,1:00,From 16:00 to about 17:00&#44 We seen a black object in the sky.  The object appeared to have one half orb with the bottom part of the cir,11/11/2013,49.883333,-97.166667
80,56130,7/13/2012 22:54,winnipeg (canada),mb,ca,oval,240,# 1/2-4 minutes,Orange UFO flying low through south Winnipeg,8/5/2012,49.883333,-97.166667
81,56200,7/14/1983 00:30,nelson house (canada),mb,ca,unknown,10800,half an hour,What I saw was the darkest&#44 crystal eyes I have ever seen&#33,7/16/2003,55.8,-98.85
82,56405,7/14/2012 23:00,winnipeg (canada),mb,ca,sphere,120,2 minutes,Two bright orange orbs traveling over winnipeg from north east to south west. No sound noted.,8/5/2012,49.883333,-97.166667
83,57089,7/15/2005 23:30,winnipeg (canada),mb,ca,rectangle,30,30 seconds,Rectangular craft that flew silently and could turn 90 degrees while continuing on same heading and same speed.,10/10/2011,49.883333,-97.166667
84,57131,7/15/2007 15:00,winnipeg (canada),mb,ca,other,30,30 seconds,UFO clearly seen to the naked eye. color&#44 shape&#44 etc.,1/10/2009,49.883333,-97.166667
85,57779,7/18/2002 00:30,winnipeg (canada),mb,ca,other,1200,20 minutes,Zig Zagging Star,7/26/2002,49.883333,-97.166667
86,58776,7/2/2002 15:13,rivers (canada),mb,ca,disk,60,one minute,Disc sighted over Rivers Fair,8/16/2002,50.033333,-100.216667
87,58866,7/2/2011 00:10,minnedosa (manitoba)(canada),mb,ca,fireball,120,a few minutes&#44 maybe 10 m,6 fireballs seen across Manitoba skies just before midnight July 1st or just after midnight July 2&#442011 NOT FIREWORKS,8/7/2011,50.25,-99.833333
88,59912,7/26/2004 03:18,winnipeg (canada),mb,ca,light,30,30 seconds,3 Flying Lights In A Triangle Formation,8/11/2004,49.883333,-97.166667
89,60386,7/28/2005 19:08,winnipeg (canada),mb,ca,disk,2880,48minutes,Myself&#44a friend&#44 and his daughter were bike riding in East Kildonan when we noticed a blinking light sitting under the clouds.The daugh,2/14/2006,49.883333,-97.166667
90,60960,7/30/2013 22:30,winnipeg (canada),mb,ca,fireball,60,~1:00,2 orange balls flying west to east in perfect unison,8/30/2013,49.883333,-97.166667
91,61970,7/4/2009 00:00,west hawk lake (canada),mb,ca,light,12,12 seconds,Flashing light source speeding like a meteor suddenly moves back its path twice.,8/5/2009,49.8,-93.983333
92,62054,7/4/2010 00:00,brandon (canada),mb,ca,unknown,60,approx 1 minute,Crazy fast light being followed by a smaller fast light&#44same speed.  ((NUFORC Note:  International Space Station over flight.  PD)),7/6/2010,49.833333,-99.95
93,62058,7/4/2010 01:00,winnipeg (canada),mb,ca,light,300,5 minutes,Light in sky over Winnipeg&#44 Canada.,7/6/2010,49.883333,-97.166667
94,63136,7/6/2003 21:30,winnipeg (hecla provincial park) (canada),mb,ca,unknown,10,approx:10 seconds,HBCCUFO CANADIAN REPORT:  Object made a very quick and very sharp U-turn.,7/16/2003,49.883333,-97.166667
95,64331,8/10/2008 20:30,brandon (canada),mb,ca,light,10,10 seconds,((HOAX??  Date and time are flawed.))  Green light in clouds over Brandon MB.,1/10/2009,49.833333,-99.95
96,64426,8/10/2013 21:00,gimli (canada),mb,ca,fireball,600,10 minutes,Fireball&#44 big&#44 two of them same spot in the sk &#44 very high up.,10/14/2013,50.633333,-97.0
97,64551,8/11/2004 23:30,winnipeg (canada),mb,ca,light,5,5 seconds,Bright Light in night sky,8/24/2004,49.883333,-97.166667
98,67107,8/16/2013 23:15,winkler (canada),mb,ca,fireball,180.0,3 minutes,Red fireball traveling slowly across the sky.,8/30/2013,49.183333000000005,-97.93333299999999
99,67491,8/18/2009 00:00,winnipeg (moose lake) (canada),mb,ca,cigar,120.0,2:00,multiple flashing lights over other side of lake,12/12/2009,49.883333,-97.166667
100,68006,8/20/2002 01:05,the pas (canada),mb,ca,fireball,2.0,2 seconds,very bright green ball of light,8/28/2002,53.816667,-101.233333
101,68067,8/20/2004 22:30,stonewall (canada),mb,ca,formation,30.0,30 seconds,3 boomerang shaped objects in formation.,9/1/2004,50.133333,-97.31666700000001
102,68866,8/22/2008 23:36,brandon (canada),mb,ca,light,15.0,15 seconds,One night as my mom and dad were driving back to our campsite near Brandon&#44 I looked into the clouds and saw an unnatural green light t,10/31/2008,49.833333,-99.95
103,68930,8/22/2013 00:00,winnipeg (canada),mb,ca,fireball,10800.0,3 hours,Hi i live in Winnipeg there have been  some odd glowing red balls seen over the city( this was witnessed by by cousin and another frein,8/30/2013,49.883333,-97.166667
104,69015,8/23/2003 18:45,winnipeg (canada),mb,ca,circle,30.0,30 sec,The object was around 4-5 ft in diameter had a silver center and darker colored chrome balls or like disks around the middle of it.,8/28/2003,49.883333,-97.166667
105,69469,8/25/1998 14:00,winnipeg (canada),mb,ca,sphere,1800.0,30 min,4 witness daytime sighting of metallic rotating ball at Winnipeg international air show.,5/24/2005,49.883333,-97.166667
106,69744,8/26/2002 00:00,steinbach (canada),mb,ca,changing,240.0,4 min.,What the hell was that?,2/22/2005,49.516667,-96.68333299999999
107,71251,8/3/2013 00:10,the pas (canada),mb,ca,flash,3.0,3 seconds.,Very bright huge circular form of light shooting upwards in the atmosphere in Manitoba&#44 Canada.,8/30/2013,53.816667,-101.233333
108,71261,8/3/2013 21:00,winnipeg (canada),mb,ca,disk,2400.0,40 minutes,Four bright lights travelling in a row at sunset.,9/30/2013,49.883333,-97.166667
109,71805,8/6/2002 04:00,winnipeg (canada),mb,ca,light,60.0,1minute,star-like  object hovering in night-sky,8/16/2002,49.883333,-97.166667
110,71899,8/6/2010 01:00,the pas (canada),mb,ca,circle,10.0,10 seconds,Object flying just above the trees that had two perpendicular faint coloured circular lights  500 Lights On Object0: Yes,8/24/2010,53.816667,-101.233333
111,72008,8/7/1969 18:30,riverton (canada),mb,ca,circle,60.0,1 minute,1969/ Riverton&#44 Manitoba&#44 Sphere 1 minute time space alteration.,4/11/2014,51.0,-97.0
