,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
89,6466,10/5/2003 04:37,beamsville (canada),on,ca,triangle,180,3 minutes,Triangular &quot;v&quot;-shaped object with 3 lights that looked like a plane and slowly descended in a downward &quot;zig-zag&quot; motion,10/15/2003,43.166667,-79.466667
90,6553,10/5/2011 13:00,ottawa (canada),on,ca,disk,60,60 seconds,Orange Glowing disc visible over parliament hill&#44 Ottawa&#44 Canada.,10/10/2011,45.416667,-75.7
91,6628,10/5/2013 23:00,toronto (canada),on,ca,other,3600,1 hour,LOOKED LIKE FIRE FLY&#39S PLAYING CATCH IN DA DARK SKY.,10/14/2013,43.666667,-79.416667
92,6689,10/6/2004 20:00,thorold (canada),on,ca,triangle,600,10 minutes,It had 3 lights&#44 like a triangle. It Stopped n mid air for 5 miutes right over where we were playing football&#44 then went NorthWest at s,10/27/2004,43.116667,-79.2
93,6692,10/6/2004 20:30,kincardine (canada),on,ca,light,30,30 seconds,four orange-red  spotlight-like lights flashing in sequence for approx.  30 seconds over large lake at night.,10/27/2004,44.166667,-81.633333
94,6770,10/6/2011 03:30,toronto (canada),on,ca,unknown,10800,3 hrs,MULTIPLE UFO&#39S VISIBLE FOR MANY HOURS.  ((NUFORC Note:  Possible stars??  PD)),10/10/2011,43.666667,-79.416667
95,6799,10/6/2012 19:50,kingston (canada),on,ca,fireball,2400,40 minutes,October 6&#44 2013&#44 three passes of 6-10 bright orange fireballs/lights moving in formation was observed over Kingston Ontario.,10/14/2013,44.233333,-76.483333
96,6808,10/6/2012 21:40,brockville (near) (canada),on,ca,triangle,10,10 seconds,Ontario country road October 2012&#44 large spotlight over home&#44 and triangular object with green &amp; white lights across road over treeline,10/30/2012,44.583333,-75.68333299999999
97,6834,10/7/1971 01:00,kitchener (canada),on,ca,disk,2700,45 min,A very bright &#44 horizontal elliptical disk aprox. the length of a yardstick held at arms length&#44 hovered one hundred feet  away.,7/13/2005,43.45,-80.5
98,6854,10/7/2000 15:00,london (canada),on,ca,sphere,60,1 minute,The sky was darkly overcast at the time and while working on the computer something caught my eye about 400 yards to the North East. I,12/2/2000,42.983333,-81.25
99,6973,10/7/2012 05:50,st. catharines (canada),on,ca,unknown,300,5 minutes,Three stationary alternating red lights and one white light NOT MOVING visible from QEW at dawn,10/30/2012,43.166667,-79.233333
100,6976,10/7/2012 19:30,mississauga (canada),on,ca,light,360,6 minutes,Orange lights over mississauga ontario canada,10/30/2012,43.15,-79.5
101,6988,10/7/2013 19:00,mississauga (canada),on,ca,sphere,600,10 minutes,Orbs by Lake Ontario.,10/14/2013,43.15,-79.5
102,7005,10/8/1994 20:00,thunder bay (canada),on,ca,oval,900,15 min.,The speed it moved is unbelievable. and the colour of light&#39s is unmistakeable.,9/9/2003,48.4,-89.233333
103,7148,10/8/2011 21:00,gananoque (canada),on,ca,sphere,30,30 seconds,6 large&#44 fast moving and silent orange spheres travelling in formation.,10/19/2011,44.333333,-76.166667
104,7172,10/8/2012 21:45,attawapiskat (canada),on,ca,sphere,300,5 minutes,Large orb seen in night sky by several people in various towns,10/30/2012,52.916667,-82.43333299999999
105,7326,10/9/2010 10:00,st. catharines (canada),on,ca,triangle,30,30 sec,three dim lights in triangle shape and no noise.,11/21/2010,43.166667,-79.233333
106,7367,10/9/2012 05:25,caledon (canada),on,ca,triangle,3,3 seconds,Silent triangular craft moved slowly east with steady white lights on each point,10/30/2012,43.866667,-80.0
107,7737,11/10/2007 05:00,barrie (canada),on,ca,sphere,600,10 min,The flying object was moving fast and stops. Then drops it self for 50 feet and then stops&#44 then it shifted its position and fly side w,11/28/2007,44.383333,-79.7
108,7768,11/10/2009 06:15,niagara falls (canada),on,ca,cigar,1800,30 minutes,Bar shaped light with lit ends hovering in Niagara Falls for at least 30 minutes with darting small light,12/12/2009,43.1,-79.05
109,7797,11/10/2012 13:00,mississauga (canada),on,ca,circle,60,1 minute,6 orange circle lights came right above our heads at about 1 and lasted for a minute without any sound and slowly dissapeared,11/19/2012,43.15,-79.5
110,7961,11/11/2005 18:00,brockville (canada),on,ca,sphere,60,1 minute,11/11/2005 600 pm ont. white spere  Ball of white light zoomed about a 1000 yards above tree line,3/19/2009,44.583333,-75.68333299999999
111,7969,11/11/2005 23:13,toronto (canada),on,ca,chevron,10,10 seconds,Chevron shaped craft sighted over toronto,12/16/2005,43.666667,-79.416667
112,8049,11/11/2012 20:00,brantford (canada),on,ca,rectangle,60,1 minute,Was standing out in my backyard stargazing when a strange craft flew overhead. Couldn&#39t tell how high up it was.,11/19/2012,43.133333,-80.266667
113,8218,11/1/2000 19:30,mississauga (canada),on,ca,circle,600,10 mins,A shooting star type thing that traveled east&#44stopped&#44then traveled north.,12/2/2000,43.15,-79.5
114,8292,1/11/2002 19:00,thornhill (canada),on,ca,other,60,20 - 60 seconds,Bright light splitting to 3 lights &quot;blitzing&quot;.,1/29/2002,43.8,-79.416667
115,8295,1/11/2002 20:00,leamington (canada),on,ca,disk,300,5 minutes,We spotted red and green light in the sky. Pulled the car over and got out to observe. The object was quite low coming closer and lower,1/29/2002,42.05,-82.583333
116,8317,11/1/2003 16:00,oshawa (canada),on,ca,sphere,20,20 seconds,Low flying basketball sized translucent spherical bubble,12/12/2011,43.9,-78.866667
117,8377,11/1/2006 06:50,peterborough (canada),on,ca,changing,900,10 - 15 minutes,Shaped changing object in the sky at sunrise over Peterborough&#44 Ontario,12/7/2006,44.3,-78.333333
118,8478,11/1/2010 19:45,toronto (canada),on,ca,light,10,10 sec,2 Bright Orb type craft seen moving in the direction of space then vanishing,11/21/2010,43.666667,-79.416667
119,8487,1/11/2010 23:25,ingleside (canada),on,ca,triangle,300,5 minutes,triangle shaped craft with four coloured lights,2/14/2010,45,-75.0
120,8503,11/1/2011 17:30,brampton (canada),on,ca,cylinder,30,30 seconds,3 cylinders making up a triangle going really fast and 100 feet from the ground.,8/5/2012,43.683333,-79.766667
121,8610,1/11/2014 01:45,ottawa (canada),on,ca,,7,7 seconds,Streaking yellowish greenish light from south 4 seconds with giant bright blue flash&#44 no sound.,1/24/2014,45.416667,-75.7
122,9029,11/13/2013 18:00,orangeville (canada),on,ca,light,2940,49 minutes,Brite light in night sky not from this planet .  ((NUFORC Note:  Sighting of Venus??  PD)),11/20/2013,43.916667,-80.083333
123,9100,11/14/1999 01:00,milton (canada),on,ca,triangle,120,2 minutes,ok... this is my first online description of my experience..  I was driving home like normal&#44 straight up Steeles Ave.&#44 Milton Area&#44 ri,5/24/2005,46.3,-63.216667
124,9162,11/14/2006 03:10,london (canada),on,ca,light,15,15secs,Explosion in the sky.,12/7/2006,42.983333,-81.25
125,9177,11/14/2008 02:20,north bay (canada),on,ca,light,180,3 mins,Big Bright Red Light,1/10/2009,46.3,-79.45
126,9213,11/14/2010 19:34,aurora (canada),on,ca,fireball,135,2 minutes (+/- 15 seconds,Nov12/10&#44 7-34 pm&#44 3 orange shimmery lites in a triangular formation going slowly in one direction then 90 degrees to another for 2 min,11/21/2010,44,-79.466667
127,9312,11/15/1976 20:00,cambridge (galt) (canada),on,ca,formation,900,15 mins,Nov. 1976&#44 straight line of 7 or 8 red balls travelling northward&#44 absolutely silent&#44 moving up and down&#44 changing positions,2/5/2003,43.383333,-80.31666700000001
128,9594,11/15/2009 07:20,niagara falls (canada),on,ca,light,6300,1 hour 45 minutes,Lights seen over Niagara Falls hoevered for 1 hour &amp; 45 minutes,12/12/2009,43.1,-79.05
129,9618,11/15/2010 23:00,north bay (canada),on,ca,cigar,300,3-5 min,Cigar passef low over my haed.,1/24/2012,46.3,-79.45
130,9623,11/15/2011 18:00,mississauga (canada),on,ca,fireball,8,8 seconds,Fireball in the sky,5/13/2012,43.15,-79.5
131,9641,11/15/2012 06:42,brampton (canada),on,ca,sphere,3,3 seconds,White sphere moving from south to east witnessed by 2 of us,11/19/2012,43.683333,-79.766667
132,9656,11/15/2012 24:00,sudbury (canada),on,ca,oval,300,5 minutes,A real sighting that had some sort of communicateion.,2/4/2013,46.5,-80.966667
133,9768,11/16/1999 18:09,newmarket (canada),on,ca,fireball,30,30.sec,3 Blue green balls of light with streaming orange yellow tails. Tails resembling sparks.,12/2/2000,44.05,-79.45
134,9823,11/16/1999 19:05,burlington (canada),on,ca,formation,10,10 seconds,Burlington Ontario 19:05 E.S.T. A line of seven bright green and white lights moving from northwest to southeast,12/2/2000,43.316667,-79.8
135,9864,11/16/1999 19:10,toronto (canada),on,ca,,20,20 sec,Not believed to be a U.F.O. but was definately a very large object breaking up.,12/2/2000,43.666667,-79.416667
136,9867,11/16/1999 19:13,hamilton (43n-80w) (canada),on,ca,fireball,15,15 sec,Large fire-ball being followed by about 12 smaller fire balls&#44 travelling in a ENE direction.,12/2/2000,43.25,-79.833333
137,10128,11/17/1998 21:30,grand bend (outside of) (canada),on,ca,sphere,900,10 - 15 min,2 Friends and a neighbor saw a Bright sphere that got bigger and brighter and then shrunk to almost nothing off and on for 15 min,12/2/2000,43.316667,-81.75
138,10140,11/17/1999 17:45,oakville (canada),on,ca,triangle,240,4 min,LOOKING S.W OVER LAKE ONTARIO LARGE TRIANGLE&#44BRIGHT WHITE/YELLOW LIGHTS AT POINTS.NOT MOVING.AT ARMS LENGHT DISTANCE FULL THUMB APPRX 3,12/2/2000,43.433333,-79.666667
139,10236,11/17/2009 19:00,timmins (canada),on,ca,unknown,60,1 minute,A light a bit brighter than the stars moved from west to east&#44It seemed to pulsate in speed and brightness as it approched the eastern,12/12/2009,48.466667,-81.333333
140,10278,11/17/2012 00:00,bobcaygeon (canada),on,ca,triangle,15,15 seconds,While driving home from toronto recently past cork road on pigeon lake road heading north&#44 then the whole road just lit up from a orang,12/23/2013,44.533333,-78.55
141,10312,11/17/2012 21:45,midland (canada),on,ca,sphere,300,5 minutes,Three Bright Glowing Orbs floating over my home all the same distance apart ...,11/19/2012,44.75,-79.9
142,10330,11/17/2013 20:00,burlington (canada),on,ca,light,600,~10 minutes,Two amber lights appearing intermittently; one moving left to right disapearing and reappearing&#44 the other falling in an arc.,11/20/2013,43.316667,-79.8
143,10475,11/18/2007 00:13,wingham (canada),on,ca,other,3600,1hr+,This was weird.,11/28/2007,43.883333,-81.3
144,10478,11/18/2007 16:15,sudbury (canada),on,ca,circle,300,5 minutes,object was size of a plane and moved slowley staright up into sky  was about thousand feet up when first sighted,11/28/2007,46.5,-80.966667
145,10530,11/18/2011 21:26,toronto (canada),on,ca,light,7200,2 hours,The bright dot appeared in a sky and was not moving. it stayed in one spot. the light dot would dim and then appear in very bright ligh,12/12/2011,43.666667,-79.416667
146,10567,11/18/2013 17:30,peterborough (canada),on,ca,other,1800,30 mins in 15 min interva,Large white light in southern sky.  ((NUFORC Note:  Sighting of Venus&#44 we suspect.  PD)),11/20/2013,44.3,-78.333333
147,10625,11/19/2001 21:30,brantford (canada),on,ca,light,2400,40 minutes,i saw 4 balls of light in the sky. They would cirlce in and out in a dancing pattern.,12/5/2001,43.133333,-80.266667
148,10667,11/19/2003 17:30,guelph (canada),on,ca,formation,12,10-12 seconds,several crafts flying in a V-shaped formation; Guelph&#44 Ontario,11/26/2003,43.55,-80.25
149,10692,11/19/2005 21:17,toronto (canada),on,ca,chevron,30,30 seconds,Two ufos came tigether&#44 changed direction&#44 then rapidly headed north.,12/16/2005,43.666667,-79.416667
150,10732,11/19/2009 00:10,brampton (canada),on,ca,triangle,120,approximately 2 minutes,((HOAX??))  triangle seen over brampton&#44 ontario&#44 canada,12/12/2009,43.683333,-79.766667
151,10787,11/19/2013 07:50,milton (canada),on,ca,circle,10,10 seconds,Large white circular light&#44Approaching the south&#44of milton ontario&#44object veered very quickly to the east.,11/20/2013,46.3,-63.216667
152,10840,1/1/1971 01:00,niagara falls (canada),on,ca,oval,300,5 min.,In van driving home. Van stalled beside Winery. One block ahead&#44 hovering over an old schoolhouse was bright lights - Red and white cir,12/2/2000,43.1,-79.05
153,11040,1/1/2006 05:00,sudbury (canada),on,ca,light,4,4 seconds,Very bright light falling on an angle.,2/14/2006,46.5,-80.966667
154,11140,1/1/2009 00:15,thunder bay (canada),on,ca,light,50,50 seconds,Bright green light.,1/10/2009,48.4,-89.233333
155,11251,1/1/2011 20:45,kincardine (canada),on,ca,cigar,45,45 seconds,Two southbound whitish cigar/rectangluar objects observed flying in tandem above the shores of Lake Huron.,1/5/2011,44.166667,-81.633333
156,11278,1/1/2012 00:15,barrie (canada),on,ca,circle,180,2-3 minutes,Orange orbs in triangle formaton spotted slightly after 2012 new years countdown.,2/4/2013,44.383333,-79.7
157,11356,1/1/2013 00:20,toronto (canada),on,ca,unknown,90,1 minute 30 seconds,White orange red glowing orb moving silently over toronto.,2/4/2013,43.666667,-79.416667
158,11539,11/20/1999 01:00,sudbury (canada),on,ca,sphere,300,5 mins,IT MADE NO SOUND AT ALL IT JUST MOVED AND FLASH VERY FAST,7/16/2003,46.5,-80.966667
159,11545,11/20/1999 23:00,sudbury (canada),on,ca,cylinder,90,1:30,Seen a cylinder blue above the Sudbury area for about 1 hours and half&#44 the description is very complicated because of smog night and a,12/2/2000,46.5,-80.966667
160,11610,11/20/2005 22:30,brechin (canada),on,ca,triangle,300,5mins,Pointed object about 100 ft long&#4460 ft. wide Bright white lights covering bottom of craft.Color a dark silver.Object came down from abo,2/1/2007,44.55,-79.18333299999999
161,11742,11/21/2000 22:30,toronto (canada),on,ca,triangle,60,1 minute,Toronto Canada- Triangle shaped object with lights and beam of light,12/2/2000,43.666667,-79.416667
162,11745,11/21/2001 05:50,chatham (canada),on,ca,circle,8,7-8 sec.,Orange disks over southern Ontario&#44 Canada,12/5/2001,42.4,-82.18333299999999
163,11839,11/21/2011 02:34,penetanguishene (canada),on,ca,circle,900,15 minutes,multiple red and white orbs,12/12/2011,44.766667,-79.93333299999999
