,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,15721,11/7/2008 01:15,whitehorse (canada),yt,ca,unknown,2400,40 minutes,red/green light object flashing/hovering in sky for 40 minutes/bright circular light below/amber lights flashing in another direction,1/10/2009,60.716667,-135.05
1,26475,2/14/2009 23:23,carcross (canada),yt,ca,sphere,4,4 seconds,falling neon blue object,3/19/2009,60.183333,-134.716667
2,29444,2/5/2005 09:15,whitehorse (canada),yt,ca,fireball,360,6 minutes,Two very large Orange Orbs Hovering directly over our House&#44 Whitehorse&#44 Yukon Territory&#44 Canada,4/16/2005,60.716667,-135.05
3,29446,2/5/2005 21:15,whitehorse (canada),yt,ca,light,900,15 mins,3rd witness report on Whitehorse&#44 Yukon sighting of Feb 5/05,5/24/2005,60.716667,-135.05
4,77152,9/23/2000 20:18,fort nelson (80 miles nw of) (canada),yt,ca,unknown,600.0,5-10 minutes,Silent&#44 hovering and moving lights close to the highway.,1/19/2005,58.816667,-122.53333300000001
