,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
184,57733,7/18/1990 07:00,red deer (canada),ab,ca,light,20,approx; 20 seconds,HBCCUFO CANADIAN REPORT:  Object traveled back on itself.,3/17/2004,52.266667,-113.8
185,57791,7/18/2003 23:50,calgary (canada),ab,ca,other,5,5 seconds,i was with a friend&#44 suddenly i was with some strangers with bright white lights.,7/23/2003,51.083333,-114.08333300000001
186,57841,7/18/2008 20:30,calgary (canada),ab,ca,circle,600,10 mins?,It was  round and red and  would emit fire like flares and travelled slowly but surely.,8/12/2008,51.083333,-114.08333300000001
187,57884,7/18/2009 23:40,stirling (canada),ab,ca,,90,1.5 minutes,4 witnesses to group of objects sighted  in Southern Alberta&#44 Canada&#44 traveling SE toward Great Falls&#44 MT,8/5/2009,44.3,-77.55
188,58093,7/19/2008 22:21,cochrane (canada),ab,ca,light,120,app. 2 min,Very large&#44 bright satellite of unknown origin,8/12/2008,49.066667,-81.016667
189,58614,7/21/2007 19:00,slave lake (canada),ab,ca,disk,60,1 min,It was nothing like anything we had ever seen&#44 it was small though&#44 and blackish&#44 shiny&#44 it flew wobbly..,8/7/2007,55.283333,-114.78333300000001
190,58803,7/2/2005 03:00,lloydminster (canada),ab,ca,oval,3600,1 hour,3 oval objects moved oround the sky in a search pattern over time one decended downward.,7/5/2005,53.283333,-110.0
191,58955,7/22/1994 22:30,coaldale (canada),ab,ca,oval,900,15 mins.,My cousin and I were walking home after a late fishing trip. We turned down a road that reconnected with the river&#44 leading into town.,12/2/2000,49.733333,-112.61666699999999
192,59002,7/22/2003 00:20,lethbridge (canada),ab,ca,triangle,5,5 seconds,HBCCUFO CANADIAN REPORT:  Two triangle shaped flying objects.,7/23/2003,48.366667,-53.86666700000001
193,59194,7/23/2002 14:30,st. albert (canada),ab,ca,other,300,5 minutes,4 Black squares that met in the sky&#44 then suddenly disappeared.,5/27/2003,53.633333,-113.63333300000001
194,59379,7/24/1999 03:15,edmonton (canada),ab,ca,triangle,120,2minutes,I was having my morning coffee and loooking at the sky for a satellite that passes by every night around that time when i noticed the s,12/2/2000,53.55,-113.5
195,59441,7/24/2007 00:00,calgary (canada),ab,ca,sphere,120,2 min,Orange like sphere flying around eratically right over 17 AVE (lower mount royal area),8/7/2007,51.083333,-114.08333300000001
196,59494,7/24/2010 00:00,calgary (canada),ab,ca,formation,120,1-2 min.,One light trailing another much slower than satellites at high altitide overhead.,8/24/2010,51.083333,-114.08333300000001
197,59502,7/24/2010 12:55,calgary (canada),ab,ca,other,180,3 minutes,Birds dont fly then vanish in a ripple of light and energy.,11/21/2010,51.083333,-114.08333300000001
198,59664,7/25/2004 20:00,busby (canada),ab,ca,disk,45,45 seconds,High speed saucer shaped object spotted over Northern Alberta Canada,8/11/2004,53.95,-113.9
199,59686,7/25/2007 19:15,sherwood park (canada),ab,ca,sphere,120,2 minutes,One small completely stationary sphere observed for 2 mins until clouds cover rolled in.  Appeared to be light grey/white and very high,8/7/2007,53.516667,-113.316667
200,59732,7/25/2009 11:55,stettler (canada),ab,ca,unknown,3,2-3 seconds,2 very fast flying lights,8/5/2009,52.333333,-112.683333
201,59855,7/26/1998 24:00,cold lake (canada),ab,ca,light,120,2 mins,Large Manoeuvring Light which quickly accelerated out of sight,12/2/2000,54.465,-110.18305600000001
202,60056,7/27/1997 22:00,athabasca (canada),ab,ca,disk,10800,3 hours,Me and family were driving home from town...it was just before dusk and we spotted a large bright light sitting in the west sky. It was,12/2/2000,54.716667,-113.266667
203,60210,7/27/2011 00:19,fort mcmurray (canada),ab,ca,disk,18,0:19- 0:37,Red and white huvering lights over Fort Mcmurray&#44 Alberta.,8/7/2011,56.733333,-111.38333300000001
204,60523,7/29/1987 01:30,edmonton (canada),ab,ca,triangle,180,3 minutes,large black triangular shape had three lights red&#44 white and blue&#44 hovered a few minutes&#44 no sound&#8230;,5/12/2011,53.55,-113.5
205,60672,7/29/2012 02:30,devon (canada),ab,ca,light,10800,3 hours,Saw 3 bright lights and 2 smaller lights in the sky with strange zig zag moving patterns&#44. ((NUFORC Note:  Planets in E sky.  PD)),8/5/2012,53.366667,-113.733333
206,60804,7/30/2003 23:50,airdrie (canada),ab,ca,light,10,10 seconds,HBCCUFO CANADIAN REPORT:  Pulsating a bright blue white light.,8/1/2003,51.266667,-114.016667
207,60825,7/30/2005 23:40,innisfail (canada),ab,ca,triangle,35,35 secs,Two different crafts sighted in the same night by two people,10/11/2005,52.033333,-113.95
208,61403,7/3/2010 23:15,cochrane (canada),ab,ca,other,300,5 minutes,Two UFO lights&#44 one large&#44 one small fly over Cochrane&#44 Alberta&#44 Canada (07/03/2010),7/6/2010,49.066667,-81.016667
209,61404,7/3/2010 23:30,caroline (canada),ab,ca,diamond,240,4 minutes,bright diamond shaped light chased by tiny light,7/6/2010,52.083333,-114.75
210,61406,7/3/2010 23:32,caroline (canada),ab,ca,formation,300,5 min,not sure what it was?,7/10/2010,52.083333,-114.75
211,63110,7/6/2002 01:30,edmonton (canada),ab,ca,disk,10,10 seconds,Huge&#44 motionless craft hovers silently above an army base,7/26/2002,53.55,-113.5
212,63993,7/9/2006 00:00,calgary (canada),ab,ca,circle,7200,2 hours,Three lights circling one another.  ((NUFORC Note:  Possible advertising lights.  PD)),7/16/2006,51.083333,-114.08333300000001
213,64122,8/10/1972 13:00,nanton (canada),ab,ca,unknown,120,1 to 2 minutes,Flaming object&#44 travelling slowly at low altitude on a horizontal path from north to south.,4/27/2004,50.35,-113.766667
214,64139,8/10/1980 02:30,edmonton (canada),ab,ca,light,300,5 minutes,Object seen manuvering around the area of Namaeo Airforce base from the vehicle I was a  a passenger in. Estimated range was about 5 ki,5/24/2005,53.55,-113.5
215,64171,8/10/1994 15:00,gull lake (canada),ab,ca,triangle,4,4 seconds,A black triangle spun out of a billowing line of smoke and stopped dead&#44then took off at incredible speed.,5/9/2003,50.1,-108.483333
216,64441,8/10/2013 22:00,lethbridge (canada),ab,ca,triangle,3600,1 hour,Footsteps heard on the roof and triangular object with lights in the night sky.,8/30/2013,48.366667,-53.86666700000001
217,65069,8/1/2005 01:00,calgary (canada),ab,ca,oval,120,2 mins,3-lighted&#44 catepiller-like object over Calgary.,9/2/2005,51.083333,-114.08333300000001
218,65244,8/12/1981 14:00,medicine hat (canada),ab,ca,triangle,90,1min30 sec,5 bright lights seen in medicine hat&#44 alta. in the mid afternoon in 1980-1981,9/15/2005,50.033333,-110.683333
219,65369,8/12/2004 00:00,didsbury (canada),ab,ca,triangle,12,12 seconds,Triangle shaped object witnessed in Alberta near Calgary,8/24/2004,51.666667,-114.13333300000001
220,65370,8/12/2004 00:00,didsbury (canada),ab,ca,triangle,15,10-15 seconds,At Midnight&#44 both my husband an I were outside gazing at stars when we noticed a large triangular object with a pattern of 5 lights. Th,8/24/2004,51.666667,-114.13333300000001
221,66316,8/15/1984 19:00,ardrossan (canada),ab,ca,oval,259200.0,2-3 days,Some time in the summer of 1984&#44I was living on an acerage outside of ardrossan&#44alberta.I was about 10 years old and was getting ready,12/2/2000,53.55,-113.13333300000001
222,66380,8/15/1993 00:01,lethbridge (alberta) (canada),ab,ca,,25.0,15-25 sec.,Peter We just got this report sent to us.The witness observed this back in 1993 but I thought is was unusual when the witness says it w,4/27/2004,48.366667,-53.86666700000001
223,67427,8/18/2003 02:30,airdrie (canada),ab,ca,other,120.0,approx: 2 minutes,HBCCUFO CANADIAN REPORT:  Daylight sighting&#44 light changed into a craft.,9/28/2003,51.266667,-114.016667
224,67731,8/19/2006 08:00,edmonton (canada),ab,ca,rectangle,300.0,5 min,Silver colored rectangle with yellow glow on top 1/8 spotted over Edmonton&#44 AB&#44 Canada,2/1/2007,53.55,-113.5
225,67948,8/20/1997 22:30,camrose (1.5 km north) (canada),ab,ca,light,3600.0,1 hour,3 stalite looking oblects very high alltitiude.flying in a triangle formation&#44 watched fo about ...5 hour when they changed direction.,12/2/2000,53.016667000000005,-112.816667
226,67953,8/20/1998 14:00,grande prairie (canada),ab,ca,unknown,180.0,3 minutes,While flying my R/C plane I noticed a nearly invisible craft flying very high above my model.,5/24/2005,55.166667000000004,-118.8
227,68300,8/21/2003 02:30,cochrane (north of) (canada),ab,ca,light,2700.0,45 minutes,Shape shifting light in sky in remote forest location,5/24/2005,49.066666999999995,-81.016667
228,68421,8/21/2009 23:00,sherwood park (canada),ab,ca,light,1800.0,30 min +,Four lights above the clouds moving silently in large circles like small planes searching.  ((NUFORC Note:  Advertising lights?  PD)),8/27/2009,53.516667000000005,-113.316667
229,68653,8/2/2010 01:50,lacombe (canada),ab,ca,flash,10.0,10 seconds,bright blue flash followed by long blue streak,8/24/2010,52.466667,-113.733333
230,68913,8/22/2012 04:00,hondo (canada),ab,ca,disk,4.0,4 seconds,Symmetrical.,5/15/2013,55.066667,-114.03333300000001
231,69004,8/23/2003 01:20,airdrie (canada),ab,ca,unknown,7200.0,approx: 2 hours,HBCCUFO CANADIAN REPORT:  I had a tel. call from a couple  in Airdrie&#44 AB&#44 and they have informed me that they saw a very strange obj..,9/28/2003,51.266667,-114.016667
232,69271,8/24/2005 22:00,edmonton (canada),ab,ca,triangle,60.0,30-60 seconds,It had Smaller Orange/Red colored V&#39s outlining the main wedge shape. It moved Quickly and Silently.,11/28/2007,53.55,-113.5
233,69542,8/25/2005 19:00,edmonton (canada),ab,ca,other,45.0,30-45s,I thought it was a star&#44 then a satelitte-but by its sudden shot out to the right I knew it was something else,5/15/2006,53.55,-113.5
234,69610,8/25/2010 23:00,red deer (canada),ab,ca,fireball,120.0,2 minutes,Round circular UFO with bright orange lights close to the ground at night.,8/30/2010,52.266667,-113.8
235,69797,8/26/2006 22:45,edmonton (canada),ab,ca,chevron,2.0,few seconds,Helicopter altitude;highspeed;7-8 boomerang-shaped objects glowstick-like in V or L formation;part of a larger transparent object,10/30/2006,53.55,-113.5
236,69845,8/26/2011 00:15,pincher creek (canada),ab,ca,circle,120.0,approx 2 minutes,Bright white light&#44 seen moving across treeline&#44 while camping in rocky mountains.,10/10/2011,49.483333,-113.95
237,69933,8/27/2001 22:50,edmonton (canada),ab,ca,fireball,2.0,2 seconds,A green ball of light.,10/12/2001,53.55,-113.5
238,70149,8/28/1998 15:00,grande prairie (canada),ab,ca,triangle,50.0,50 seconds,...we looked up to see a small triangular shaped object traveling at very high speed.,5/24/2005,55.166667000000004,-118.8
239,70219,8/28/2005 00:30,fort mcmurray (canada),ab,ca,formation,1800.0,30 mins to hour,Formations of red lights flying across night sky.,9/2/2005,56.733332999999995,-111.38333300000001
240,70392,8/29/2002 23:10,calgary (canada),ab,ca,cigar,900.0,15 minutes,I have about 5 pictures of the object.,2/25/2003,51.083333,-114.08333300000001
241,70453,8/29/2009 03:30,devon (canada),ab,ca,circle,5.0,5 seconds,bright green light above Devon&#44 Ab. stopping in the sky veering left &amp; right then out of sight fast.,12/12/2009,53.36666700000001,-113.733333
242,71272,8/3/2013 21:45,cheadle (canada),ab,ca,rectangle,600.0,10 minutes,Large red orb shape shifting to smaller orange orb then a Cresent then to a black rectangular object.,10/14/2013,51.016667,-113.53333300000001
243,71336,8/4/2002 00:01,edmonton (canada),ab,ca,disk,30.0,30 seconds,Small disk with blue light,8/16/2002,53.55,-113.5
244,71434,8/4/2010 01:40,edmonton (canada),ab,ca,formation,20.0,flyby approx 20 sec.,5 lights&#44 jockeying around to make rectangle&#44 triangle&#44 circle and straight line formations travelling east,8/24/2010,53.55,-113.5
245,71628,8/5/2005 23:00,calgary (canada),ab,ca,unknown,5.0,5 seconds,2 bright lights moving fast and erratically,9/2/2005,51.083333,-114.08333300000001
246,71823,8/6/2003 01:00,banff (canada),ab,ca,cross,3600.0,over an hour,((NUFORC Note:  Mars sighting?))  Curious bright pulsing light.,8/28/2003,51.166667,-115.566667
247,72509,8/8/2012 22:59,calgary (canada),ab,ca,light,90.0,1.5 minutes,Satelitte-type ufo disappearing and reappearing,8/19/2012,51.083333,-114.08333300000001
248,72649,8/9/2006 24:00,calgary (canada),ab,ca,circle,2.0,seconds,July\Aug\Sept-06.White lights over Calgary. strang thing in field,10/30/2006,51.083333,-114.08333300000001
