,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
55,44338,5/25/2012 09:30,hull (canada),qc,ca,oval,900,15 min,Bright lights green to orange to yellow,5/29/2012,45.433333,-75.733333
56,44745,5/28/2006 14:30,montreal (canada),qc,ca,sphere,12600,3.5 hours,It was 28.05.06&#44 14:30 ((in time I sad to myself to check the time passed not so much time)) I was in park wathcing the sky and spot to,7/16/2006,45.5,-73.583333
57,44897,5/29/2004 22:10,brossard (canada),qc,ca,formation,1200,20 minutes,Bright lights rotating around each other with colors of red&#44 green&#44 blue&#44 and white. ((Advertising lights??)),6/4/2004,45.45,-73.483333
58,45963,5/6/2011 22:45,sherbrooke (canada),qc,ca,triangle,5,0:00:05,V-Shaped Triangle UFO,5/12/2011,45.4,-71.9
59,46385,5/9/2008 23:25,chambly (canada),qc,ca,light,15,15 sec,Moving light south to east,6/12/2008,45.45,-73.3
60,47550,6/1/1993 22:00,sherbrooke (canada),qc,ca,fireball,1200,20 minutes,Orange orb directs arch-like lazer to earth which reflects back up to the orb&#44 followed by a sonic boom.,5/15/2013,45.4,-71.9
61,48088,6/12/2006 01:00,montreal (canada),qc,ca,sphere,10800,3 hours,First time experience they said nasa was hiding a secret mission from the people.,7/16/2006,45.5,-73.583333
62,48277,6/13/2006 21:45,aylmer (canada),qc,ca,light,300,#NAME?,Bright Orange Light - dimmed out as though it went straight up - silently.,10/30/2006,45.4,-75.85
63,48346,6/13/2012 22:55,montreal (canada),qc,ca,light,6,6 second,I saw 3 red light in tight formation. They flight going to Southwest over Montreal at great speed passing over Saturn and slowly fadin,6/14/2012,45.5,-73.583333
64,48347,6/13/2012 23:00,montreal (canada),qc,ca,flash,90,1:30,Motionless white pulstating flash in the sky. It occured each 42 second during 1:30.It was left and little above to the constelatio,6/14/2012,45.5,-73.583333
65,48537,6/14/2012 21:00,temiscaming (canada),qc,ca,fireball,5,5 seconds,5 sec fireball over canadian lake,7/4/2012,46.716667,-79.083333
66,48770,6/15/1975 21:00,joliette (canada),qc,ca,other,120,2min@,i dont speak anglish very well so i&#39m gonna try the best i can . i have so much details to tell but i dont have enough words in eng,2/24/2007,46.033333,-73.43333299999999
67,49417,6/15/2012 06:30,mirabel (canada),qc,ca,other,300,5 minutes,3  point probe looking at me.,2/18/2013,45.65,-74.1
68,49756,6/17/2007 13:00,gatineau (canada),qc,ca,other,10,10 seconds,Black trail (beam) in the sky suddenly appears and disappears,8/7/2007,45.483333,-75.65
69,49961,6/18/2008 14:30,dubuisson (canada),qc,ca,cigar,20,15-20 sec.,Brigth white object moving across the sky,8/12/2008,48.1,-77.9
70,50000,6/18/2011 22:55,montreal (canada),qc,ca,circle,4,4 seconds,The circular object&#44 orange lights spinning&#44 was the size of a quarter in the night sky&#44 and rocketed accros the horizon in 5 seconds.,6/20/2011,45.5,-73.583333
71,50606,6/21/1999 04:00,gatineau (canada),qc,ca,circle,180,3 minutes,i saw 4 obects in the sky.,8/11/2004,45.483333,-75.65
72,51275,6/23/2007 20:30,montreal (canada),qc,ca,changing,180,2-3 minutes,Black rotating cross witnessed by 6 people above Tufts University Campus.,8/7/2007,45.5,-73.583333
73,52748,6/30/1975 07:00,carleton (canada),qc,ca,disk,60,1:00,silver metalic,6/9/2009,46.25,-63.666667000000004
74,53064,6/30/2005 03:00,montreal (canada),qc,ca,circle,240,~4 mins.,One of my friends was looking at the stars and noticed that one of them seemed to be moving pretty fast&#8230; ((Possible Iridium flash??)),9/2/2005,45.5,-73.583333
75,53124,6/30/2007 23:30,vaudreuil (canada),qc,ca,light,8,8 seconds,Unidentified Aerial red&#44blue&#44green lights seen in a cloud over Vaudreuil&#44Quebec near Montreal,8/7/2007,45.4,-74.033333
76,53396,6/3/2011 22:50,montreal (canada),qc,ca,light,30,30 seconds,2 lights (white or yellow...)  side by side flying very fast a low altitude&#44 no sound.,6/12/2011,45.5,-73.583333
77,54496,6/9/2007 18:00,montreal (canada),qc,ca,other,1,1 second,UFO caught during a photoshoot,6/12/2007,45.5,-73.583333
78,54499,6/9/2007 20:30,montreal (canada),qc,ca,disk,420,6-7min,another silver disk,6/12/2007,45.5,-73.583333
79,54564,6/9/2012 22:20,pierrefonds (canada),qc,ca,triangle,25,25 seconds,Slowly passed over our home&#44 slightly above the trees&#44 no sounds&#44 only orange colored light at each tip of the triangle shape&#44 black mi,6/14/2012,45.466667,-73.883333
80,54800,7/10/2010 13:30,montreal (canada),qc,ca,changing,15,10-15 seconds,Strange shapeshifting cloud like UFO.,8/7/2011,45.5,-73.583333
81,55176,7/1/1972 18:00,les escoumins (canada),qc,ca,fireball,120,a few minutes,huge orange circular fireball in Quebec,5/15/2006,48.35,-69.416667
82,56091,7/13/2011 20:10,montreal (canada),qc,ca,changing,300,5 minutes,Two morphing golden shapes flying over Montreal in the evening on July 13th&#44 2011.,7/17/2011,45.5,-73.583333
83,57629,7/17/2009 21:45,quebec (canada),qc,ca,sphere,7200,2 hours,Big orange spheres over Quebec City.,8/5/2009,46.8,-71.25
84,58572,7/21/2004 23:16,boucherville (montreal) (canada),qc,ca,other,12,12 secs,Good morning&#44 phone call follow up&#8230; ((NUFORC Note:  Aviation specialist reports overt sighting of two very strange objects.  PD)),9/2/2005,45.6,-73.45
85,58683,7/21/2012 12:14,montreal (canada),qc,ca,oval,180,2-3 minutes,Silvery&#44 oval object high up in blue sky at midday&#44 incredible speed and incredible maneuvering.,8/5/2012,45.5,-73.583333
86,59724,7/25/2008 23:45,sainte-anne-du-lac (1hour from) (canada),qc,ca,oval,600,5-10 min,Oval orange light,8/12/2008,46.866667,-75.31666700000001
87,59756,7/25/2009 23:00,berthierville (canada),qc,ca,fireball,60,one minute,Approxymately 1&#44500 or 2&#44000 feet. angle was like parralel to the ground &#44 it was huge &#44 big &#44 like always changing colors &#44,8/5/2009,46.083333,-73.166667
88,60006,7/26/2012 20:50,gatineau (canada),qc,ca,disk,180,3 minutes,I&#39m sorry i do not no how to use a computer properly. Howerver i just took 3 pictures of a ufo.i can only hope that you accept my repor,8/5/2012,45.483333,-75.65
89,60143,7/27/2006 08:30,montreal (canada),qc,ca,cigar,900,15mins,UFO in Montreal Cigar shape,10/30/2006,45.5,-73.583333
90,60145,7/27/2006 19:00,montreal (canada),qc,ca,cylinder,900,15 minutes,Bright silvery cigar cylinder object seen floating over the Montreal sky,10/30/2006,45.5,-73.583333
91,63856,7/8/2012 21:24,montreal (canada),qc,ca,fireball,10,about 10 seconds,Bright red light flying across night sky at very fast speed in west Montreal.,8/5/2012,45.5,-73.583333
92,63857,7/8/2012 21:24,pierrefonds (canada),qc,ca,circle,600,10 minutes,Craft with bright red light speeding across sky.,8/5/2012,45.466667,-73.883333
93,64625,8/11/2009 21:50,quebec (canada),qc,ca,rectangle,60,1:00 min,no sound  and pure withe rectangular,12/12/2009,46.8,-71.25
94,64856,8/1/1980 15:00,ormstown (canada),qc,ca,triangle,120,2 minutes,Though this happened many years ago&#44 the incident left a lasting impression. I was sitting at my kitchen table around 3:00pm on a s,3/11/2006,45.133333,-74.0
95,65458,8/12/2008 07:30,acton vale (canada),qc,ca,oval,40,40 sec,we where looking in the sky. we saw a plane near by.and close to it we saw an oval object then it disapeard in the clouds.,10/31/2008,45.633333,-72.56666700000001
96,66362,8/15/1988 23:00,rosemere (canada),qc,ca,diamond,10800.0,3 hours,Charbonneau Park&#44 Rosemere&#44 PQ. Diamond shaped object hovered directly over Milles Illes River to the right of me.,5/15/2006,45.633333,-73.81666700000001
97,66728,8/15/2007 22:40,montreal (canada),qc,ca,fireball,5.0,3-5 sec.,bluish white fireball observed during 3-5 sec. on SW to NE trajectory over Montreal --possible sat reentry,10/8/2007,45.5,-73.583333
98,67001,8/16/2006 23:00,montreal (canada),qc,ca,flash,60.0,1 minute,Brilliant white light moving and splitting in 2 red trangles,10/30/2006,45.5,-73.583333
99,67709,8/19/2004 22:00,longueuil (canada),qc,ca,formation,900.0,15 minutes,On august 19 Iwas on my balcoon and I saw a formation of 3 lights coming from north and going south . The objet going in triangular for,9/29/2004,45.533333,-73.516667
100,67753,8/19/2007 19:15,beaconsfield (canada),qc,ca,light,300.0,5 min,Bright light object moving unually swift and completely noiseless.,10/8/2007,45.433333000000005,-73.833333
101,68345,8/21/2004 22:45,montreal (canada),qc,ca,circle,900.0,15 min.,J&#39avais jamais vu en 31 ans d&#39existence quelconque forme effectu&eacute; des virages a 45 degr&eacute;s dans les airs de facon aussi prononc&eacute; &#33,9/1/2004,45.5,-73.583333
102,68828,8/22/2006 00:45,montreal (canada),qc,ca,light,1.0,0:01,Suburbs of Montreal&#44 Quebec&#44 Canada&#44 bright light&#44 shadow of possible large craft.,10/30/2006,45.5,-73.583333
103,69177,8/24/1954 05:00,parent (canada),qc,ca,other,240.0,3-4 minutes,Capsule shaped copper coloured object hung motionless over the domestic site for approximately three or four minutes,11/21/2010,47.916667,-74.616667
104,69376,8/24/2013 15:30,chateauguay (canada),qc,ca,light,600.0,10 minutes,Over 50 bright little white lights were spotted in the East. After 10 minutes they shot in the air and disappeared.,8/30/2013,45.383333,-73.75
105,70536,8/29/2013 21:00,gatineau (canada),qc,ca,light,2.0,a few seconds,Very bright object flies straight up and disappears.,8/30/2013,45.483333,-75.65
106,70870,8/31/2004 20:45,montreal (canada),qc,ca,other,720.0,12 minutes,light shaped like a &quot;H&quot; with a light flashing at the middle left. big as moon.  ((NUFORC Note:  Result of earlier missile launch.  PD)),9/1/2004,45.5,-73.583333
107,71598,8/5/2003 23:00,la tuque (canada),qc,ca,light,600.0,10 minutes,The event occured during a 4 day camping trip 75 kms North of La Tuque&#44 Quebec&#44 Canada. On the evening of August 5th&#44 2003&#44 at around 2,11/3/2005,47.45,-72.783333
108,71625,8/5/2005 22:25,boucherville (canada),qc,ca,light,120.0,2 minutes,light (as bright as a satellite) but changed direction and picked up speed...,9/2/2005,45.6,-73.45
